mean_r,mean_g,mean_b,exg,g_std,contrast,Label
101.13573626373626,111.01512087912089,67.65564835164835,53.23885714285716,57.82390653495672,1547.8398126245022,Healthy
105.67254313578394,118.55933983495873,62.3873968492123,69.05873968492122,53.00330041259646,2405.7927975597613,Healthy
101.75372149990578,107.13950128760756,56.82739777652157,55.697883298787765,41.69089189690132,1980.277608316733,Healthy
94.51987090241741,110.18377420579674,54.33571699784837,71.51196051132769,48.3370991057845,1147.43969434761,Healthy
113.78273784965756,124.33690898588992,72.56828121132106,62.32279891080121,57.23970772685728,1845.6733845866534,Healthy
103.71386974667573,113.47209550616326,63.86169076967873,59.368630495972056,54.40213708493213,282.19425423306774,Healthy
92.65142652500896,100.25928136564403,39.08815805180852,68.77897815447058,42.00037068578187,102.46577751494024,Healthy
98.81405875565811,104.85111387237065,57.62119463921186,53.266974349871326,49.00385410903716,2049.621731822709,Healthy
96.90972029908613,108.82354841687436,45.99196898366104,74.74540755100155,42.411640777093616,1852.4337493774904,Healthy
98.37343579978237,111.73442600652884,68.85228509249184,56.24313112078346,59.493524495126785,2467.9204899153383,Healthy
93.73171685569027,99.050791943684,41.2170512319124,63.15281579976534,41.95890114590756,543.5167766434263,Healthy
91.84401621040443,105.86254238689935,54.63675461086759,65.24431395252668,48.709510919439566,1119.8414778386455,Healthy
124.43986254295532,132.98365375684963,49.90480170892542,91.62264326181852,48.26806197596592,185.05025211653387,Healthy
89.91422914803934,99.578554093754,58.8122365563929,50.43064248307575,51.48792335120525,1511.5570997260954,Healthy
107.2845680454935,115.5937524343694,76.31806496845057,47.58487185479474,60.347862322931654,2504.3948736304783,Healthy
113.21556168325141,117.69170363265795,38.444790792470926,83.72305478959356,43.190449224279966,2127.137512450199,Healthy
100.16360663049134,111.34713446814837,55.48249461086746,67.04816769493793,52.76857893594757,1360.5628890687253,Healthy
105.83828459675917,107.1565934065934,56.00414416092382,52.470758055503815,41.099272885513436,353.40917579681275,Healthy
101.77633511090501,114.03307829043976,41.33650204807172,84.95331942190279,43.207905393922495,187.07177539840637,Healthy
102.7679769146779,115.90453907346748,63.999688036187806,65.04141319606926,53.083389982032536,1343.8566515189245,Healthy
88.45377738481187,96.08144218489046,58.792121033500344,44.91698595146871,49.69447818067264,1680.4157432768927,Healthy
112.60594080564162,122.70434875520888,79.82989635644834,52.972860348327785,58.24562039705776,1391.019188869522,Healthy
97.3096757243657,112.22492868938598,38.55442125806936,88.5857603963369,40.501180617055326,1788.4374221862554,Healthy
99.40992302218773,105.56161459344071,54.883757034737044,56.829549129956646,52.97959338854426,1977.8779257968129,Healthy
96.10997944309474,108.5797047280882,71.379835544758,49.669594468323666,61.19471292757607,1851.8814118525897,Healthy
98.55471762790299,112.29205587453937,55.7017739309281,70.32762019024766,49.83475881018876,1087.7202907121514,Healthy
113.85191654536632,124.74332848131975,69.78680252304706,65.84793789422612,55.16718369290571,996.6471302290836,Healthy
103.45290032966263,117.43052535596549,49.72308339762923,81.68506698463909,48.26347127404941,2280.3341633466125,Healthy
130.27256131439003,142.50996110802444,70.12627986348123,84.62108103817762,54.92953910422109,2550.572257843626,Healthy
99.44054120140191,110.78107425218029,67.92851903170593,54.19308827125273,58.401289100001584,1775.0458789840638,Healthy
106.15127245508982,112.43428143712575,64.29887724550898,54.418413173652695,59.322491152341165,1522.2753984063747,Healthy
91.63204644700278,108.13606589916634,41.379763795156805,83.2603215561731,47.03361164760928,985.6232258466135,Healthy
126.93225648556044,137.9042584434655,80.58002936857562,68.2962310327949,59.57531572912505,2004.7578125,Healthy
110.62386864701787,117.84932699002088,54.77738454397772,70.29740078904618,42.4717970544366,1731.8810383466136,Healthy
107.6406763362449,118.50284477922911,65.92130779709913,63.44370542511419,53.3052553538395,1404.087089143426,Healthy
105.8385174147886,107.15677966101696,56.00433041534736,52.47071149189795,41.09939906614814,353.40400896414343,Healthy
104.3367800376004,114.84276192103914,69.35788754059135,55.99085626388653,57.01907787753441,1531.257719123506,Healthy
106.75445954823387,106.2672191621608,50.01202688362221,55.76795189246552,42.411226822001964,215.76045816733074,Healthy
99.46081684747926,106.35532865347798,45.39751116783663,67.85232929164007,46.92967591850647,204.89818849601593,Healthy
99.07134837768048,108.97664758055463,52.75002806781183,66.13191871561693,51.454385020254506,1258.5802104083666,Healthy
92.94077787571618,101.7482921992067,56.71501762891141,53.84078889378581,47.334742417651135,1278.5507189990042,Healthy
107.57814129301356,128.22093326381648,73.04653284671532,75.81719238790406,45.36140288280409,2353.8978149900404,Healthy
103.27998660751653,119.9247509835105,65.36561479869424,71.20390056081023,55.537723368244144,1955.280518550797,Healthy
83.446656394453,98.66785824345146,60.04160246533128,53.847457627118644,62.16154563565401,2464.4657152639447,Healthy
90.4840526216165,101.58768692031043,43.7949081961007,68.89641302290366,45.15016195493558,1750.3910451942234,Healthy
104.25661080074488,115.67143389199255,68.31582867783985,58.77042830540037,56.49965817526339,2282.0065519173304,Healthy
96.58636086868277,104.21940328800487,51.77444015966444,60.07800554766253,49.13737542817849,1989.394609063745,Healthy
94.14393424386627,100.27328348062542,43.36697361102528,63.0356591063593,41.5010724104051,1857.1279257968126,Healthy
93.84573685433284,111.39890033299775,62.26941841555022,66.68264539611245,54.40207307109109,2051.9468065239043,Healthy
98.97092137510764,112.12472676690733,55.08630853812016,70.19222362058687,46.46743772502147,1441.6763881972115,Healthy
103.42562442183164,121.05319148936171,68.28066604995375,70.40009250693801,53.60312099562109,1971.2898717629487,Healthy
100.63078016016533,115.82065357788684,63.342740893825884,67.66778610178247,49.975724509347174,2441.8485122011957,Healthy
91.56050955414013,103.08490814339106,49.468231826077805,65.1410749065642,49.36534521466035,2007.047435258964,Healthy
95.36030988448502,102.14477415784741,47.89174794217334,61.03749048903646,44.719330220594145,982.7519142181276,Healthy
105.74246054697183,119.5810955961332,73.74973147153598,59.6699991737586,56.48257927101537,1635.393332918327,Healthy
102.08248242938602,124.78510807585201,70.26674181143085,77.22099191088716,49.670578076299364,2661.348636703188,Healthy
107.59374330404971,115.18584386829512,64.0364259695736,58.74151846296694,54.4021171094791,1832.9220150647411,Healthy
95.2222074527006,115.04554920466126,49.02162257964464,85.84726837697725,43.75105256282697,1108.0996327191235,Healthy
106.82650494159928,111.30557053009883,75.96064690026954,39.82398921832885,58.0303942997981,1779.4971364541834,Healthy
99.71059995904716,109.75837826769504,58.353286465087706,61.45287011125521,51.22014665728175,1849.0213987798807,Healthy
99.88230833396527,117.41639493440509,68.61166300144082,66.33881853340411,60.153804646915674,2344.402328187251,Healthy
106.74035068063414,115.3436782253095,56.09366422049185,67.85334154949302,49.23351582969431,1705.217940737052,Healthy
97.1721256090188,110.61805185106157,36.52345389238593,87.5405242007184,38.20109867903318,1762.7348730079682,Healthy
98.54163419069889,109.74525850870356,53.49668745128605,67.45219537542218,47.60298410940741,1115.1356760458166,Healthy
106.63374101391094,114.41228643450658,74.14480440668471,48.04602744841752,58.119715660321965,1728.7828374003984,Healthy
107.50188700501323,112.42404100715372,56.640173491804205,60.70602151749,53.8453182943442,2254.603647908367,Healthy
93.00105830286704,108.17187800654223,42.2266211275736,81.11607658264381,41.14405092699099,2139.496389442231,Healthy
121.2474497231128,126.24234916933838,83.02258816671524,48.21466044884873,47.3156764726637,245.62523344123508,Healthy
102.74892754075346,115.91490523360112,63.958349582715854,65.12253334373294,53.081922726723036,1343.8500373505976,Healthy
100.75675675675676,106.3220016891892,61.48198198198198,50.40526463963965,53.80555598532216,1559.0256629731077,Healthy
108.50566419846845,115.36257198911461,53.88380482247959,68.33567495728119,47.204247545477145,1140.9051139193227,Healthy
96.16686746987952,109.95100401606426,66.70983935742971,57.025301204819286,51.709034406827435,2188.979768426295,Healthy
101.65731604172541,115.9188046236256,62.206230617423174,67.97406258810263,53.4763849077856,1690.2628548306775,Healthy
