Red,Green,Blue,G_std,ExG,Label
201.0669,203.79930000000002,204.6776,47.22493429863077,1.8541000000000167,Healthy
211.0766,209.70000000000002,186.6843,41.211852664009164,21.639100000000013,Healthy
187.39710000000002,187.5755,167.3684,55.05202539189633,20.38549999999998,Healthy
192.3749,196.1553,180.95430000000002,59.90910433239674,18.981400000000008,Healthy
208.45080000000002,209.49620000000002,211.3288,38.64006710087334,-0.7871999999999844,Healthy
195.1824,196.2538,197.64880000000002,37.09722342116717,-0.323599999999999,Healthy
200.4008,203.4806,204.4267,58.98243317836247,2.1337000000000046,Healthy
183.3142,184.9804,177.80030000000002,56.965486181020154,8.846299999999985,Healthy
202.3167,205.20870000000002,203.0678,46.51189680404352,5.032900000000041,Healthy
190.8528,196.10060000000001,210.16410000000002,48.7302091072878,-8.815699999999993,Healthy
204.258,209.7932,215.3725,37.721516853912405,-0.04409999999998604,Healthy
194.5351,197.3381,188.80700000000002,50.11651811917903,11.334099999999978,Healthy
216.6029,219.55980000000002,215.4301,48.35295465594625,7.086600000000033,Healthy
184.8929,186.88670000000002,189.2003,40.191226195651204,-0.3197999999999581,Healthy
202.0072,203.178,195.39520000000002,40.43299291420319,8.953599999999966,Healthy
200.9606,204.2484,199.345,43.419273340764214,8.19120000000001,Healthy
208.66160000000002,209.68730000000002,213.1433,36.6930200271114,-2.4302999999999884,Healthy
200.2254,200.99280000000002,203.2706,39.000278821567385,-1.5103999999999758,Healthy
189.75570000000002,203.6489,228.453,37.467826582149115,-10.910900000000026,Healthy
198.4847,200.2595,199.3424,44.19099862811431,2.691900000000004,Healthy
198.7089,199.9882,190.1756,45.43382067094958,11.09190000000001,Healthy
198.0661,199.9657,199.5003,50.561118693221225,2.3649999999999807,Healthy
181.9653,183.2716,184.1634,46.51225895868741,0.41450000000000387,Healthy
207.36280000000002,210.2288,204.42010000000002,45.991604131189014,8.674699999999973,Healthy
187.72920000000002,188.7348,188.6729,45.77015041443496,1.0674999999999955,Healthy
196.52710000000002,198.7148,199.33970000000002,46.093577220259256,1.5627999999999531,Healthy
213.5556,215.5355,217.22330000000002,43.77400529709384,0.2921000000000049,Healthy
193.50240000000002,195.64790000000002,192.78910000000002,32.88401930406316,5.004300000000001,Healthy
199.24120000000002,196.6431,185.9247,38.04623138222753,8.120299999999986,Healthy
202.49450000000002,205.22750000000002,201.5136,49.68205856997065,6.446900000000028,Healthy
205.1687,206.18550000000002,206.6534,46.905520887737666,0.5489000000000317,Healthy
184.6527,185.7696,181.7604,51.96791236753702,5.12609999999998,Healthy
189.2324,192.2195,188.7637,55.82040773543302,6.442900000000009,Healthy
199.59290000000001,201.1834,179.54930000000002,64.51805301185084,23.22459999999998,Healthy
208.9819,213.0367,196.9923,38.484910719787365,20.099199999999996,Healthy
210.42860000000002,209.9148,213.0946,46.207226068657235,-3.6936000000000035,Healthy
192.336,193.6019,191.53310000000002,40.632209100539974,3.3346999999999696,Healthy
216.15990000000002,216.615,220.9537,43.31983812296629,-3.8836000000000013,Healthy
192.56550000000001,197.4348,203.22750000000002,34.05103741385865,-0.9234000000000435,Healthy
212.7861,213.8134,216.59130000000002,37.6198402500596,-1.75060000000002,Healthy
197.4598,200.87,204.3051,43.37912055355669,-0.024900000000002365,Healthy
197.41330000000002,204.7384,211.3813,48.32127446001392,0.6821999999999946,Healthy
204.21710000000002,206.68,202.06660000000002,47.61481282122195,7.076299999999975,Healthy
193.5448,195.0244,195.1731,46.47462108118786,1.330900000000014,Healthy
189.74540000000002,190.8608,189.6305,49.247930142900344,2.3456999999999937,Healthy
